Club,Name,Età,Nationality,Posizione,Pos,MarketValue,ClubInvolved,CountryInvolved,Costo,Movement,Season,Window,League,Profile
Robur Siena,Matteo Gianello,24,Italia,Portiere,POR,-,AC Chievo Verona,Italia,?,In,2000,s,serie-b,https://www.transfermarkt.it/matteo-gianello/profil/spieler/21686
Robur Siena,Ruggero Radice,28,Italia,Terzino sinistro,TS,-,SP Ars et Labor,Italia,?,In,2000,s,serie-b,https://www.transfermarkt.it/ruggero-radice/profil/spieler/21801
Robur Siena,Luca Cavallo,27,Italia,Centrocampista di destra,CD,-,Ternana Calcio,Italia,?,In,2000,s,serie-b,https://www.transfermarkt.it/luca-cavallo/profil/spieler/21916
Robur Siena,Tonci Zilic,25,Croazia,Difensore centrale,DC,-,Fermana Calcio 1920,Italia,?,In,2000,s,serie-b,https://www.transfermarkt.it/tonci-zilic/profil/spieler/25781
Robur Siena,Ciro Ginestra,20,Italia,Punta centrale,P,-,AC Venezia 1907,Italia,?,In,2000,s,serie-b,https://www.transfermarkt.it/ciro-ginestra/profil/spieler/21848
Robur Siena,Simone Tiribocchi,22,Italia,Punta centrale,P,-,Torino Calcio,Italia,Prestito,In,2000,s,serie-b,https://www.transfermarkt.it/simone-tiribocchi/profil/spieler/21700
Robur Siena,Aldo Preite,23,Italia,Difensore centrale,DC,-,AC Voghera,Italia,?,In,2000,s,serie-b,https://www.transfermarkt.it/aldo-preite/profil/spieler/85494
Robur Siena,Simone Marini,18,Italia,Punta centrale,P,-,SEF Tempio Pausania,Italia,?,In,2000,s,serie-b,https://www.transfermarkt.it/simone-marini/profil/spieler/21692
Robur Siena,Antonio Morello,23,Italia,Ala destra,AD,-,US Battipagliese,Italia,?,In,2000,s,serie-b,https://www.transfermarkt.it/antonio-morello/profil/spieler/15340
Robur Siena,Damiano Cesari,26,Italia,Difesa,Difesa,-,Castel di Sangro Calcio,Italia,?,In,2000,s,serie-b,https://www.transfermarkt.it/damiano-cesari/profil/spieler/299905
Robur Siena,Giuseppe Misso,26,Italia,Centrocampo,Centrocampo,-,Valenzana Mado SSD,Italia,?,In,2000,s,serie-b,https://www.transfermarkt.it/giuseppe-misso/profil/spieler/296817
Robur Siena,Carlo Lazzarini,20,Italia,Portiere,POR,-,Asdc Verbania,Italia,?,In,2000,s,serie-b,https://www.transfermarkt.it/carlo-lazzarini/profil/spieler/767496
Robur Siena,Alessandro Flauto,18,Italia,Portiere,POR,-,AC Pisa 1909,Italia,?,In,2000,s,serie-b,https://www.transfermarkt.it/alessandro-flauto/profil/spieler/8205
Robur Siena,Marcello Campolonghi,25,Italia,Seconda punta,SP,-,AC Cesena,Italia,?,In,2000,s,serie-b,https://www.transfermarkt.it/marcello-campolonghi/profil/spieler/30623
AS Cittadella Padova,Marco Esposito,20,Italia,Difensore centrale,DC,-,AC Meda 1913,Italia,?,In,2000,s,serie-b,https://www.transfermarkt.it/marco-esposito/profil/spieler/16849
AS Cittadella Padova,Stefano Ghirardello,27,Italia,Punta centrale,P,-,AC Savoia 1908,Italia,?,In,2000,s,serie-b,https://www.transfermarkt.it/stefano-ghirardello/profil/spieler/32088
AS Cittadella Padova,Alessandro De Poli,30,Italia,Ala destra,AD,-,Empoli FC,Italia,?,In,2000,s,serie-b,https://www.transfermarkt.it/alessandro-de-poli/profil/spieler/32117
AS Cittadella Padova,Joachim De Gasperi,18,Italia,Ala sinistra,AS,-,FC Südtirol-Alto Adige,Italia,?,In,2000,s,serie-b,https://www.transfermarkt.it/joachim-de-gasperi/profil/spieler/82688
AS Cittadella Padova,Roberto Musso,20,Italia,Mediano,M,-,Fiorentina Primavera,Italia,?,In,2000,s,serie-b,https://www.transfermarkt.it/roberto-musso/profil/spieler/82687
AS Cittadella Padova,Andrea Turato,26,Italia,Terzino destro,TD,-,AC Reggiana,Italia,?,In,2000,s,serie-b,https://www.transfermarkt.it/andrea-turato/profil/spieler/21843
AS Cittadella Padova,Alessandro Sturba,28,Italia,Centrocampo,Centrocampo,-,AS Livorno,Italia,?,In,2000,s,serie-b,https://www.transfermarkt.it/alessandro-sturba/profil/spieler/22094
AS Cittadella Padova,Matteo Baiocchi,26,Italia,Attacco,Attacco,-,Montevarchi Calcio Aquila 1902,Italia,?,In,2000,s,serie-b,https://www.transfermarkt.it/matteo-baiocchi/profil/spieler/226401
AS Cittadella Padova,Giovanni Martusciello,28,Italia,Centrocampo,Centrocampo,-,US Città di Palermo,Italia,?,In,2000,s,serie-b,https://www.transfermarkt.it/giovanni-martusciello/profil/spieler/88163
AS Cittadella Padova,Domenico Bertoncello,21,Italia,Portiere,POR,-,Giorgione Calcio,Italia,?,In,2000,s,serie-b,https://www.transfermarkt.it/domenico-bertoncello/profil/spieler/565462
AS Cittadella Padova,Renato Redaelli,32,Italia,Portiere,POR,-,UC AlbinoLeffe,Italia,?,In,2000,s,serie-b,https://www.transfermarkt.it/renato-redaelli/profil/spieler/256440
AS Cittadella Padova,Davide Cordone,28,Italia,Centrale,CC,-,Ternana Calcio,Italia,?,In,2000,s,serie-b,https://www.transfermarkt.it/davide-cordone/profil/spieler/21917
AS Cittadella Padova,Andrea Caverzan,32,Italia,Centrocampista di sinistra,CS,-,Calcio Padova,Italia,?,In,2000,s,serie-b,https://www.transfermarkt.it/andrea-caverzan/profil/spieler/224549
FC Crotone,Giuseppe Sculli,19,Italia,Ala sinistra,AS,-,Juventus FC,Italia,Spesa prestito:500 mila €,In,2000,s,serie-b,https://www.transfermarkt.it/giuseppe-sculli/profil/spieler/6046
FC Crotone,Sandro Porchia,23,Italia,Difensore centrale,DC,-,AC Savoia 1908,Italia,gratuito,In,2000,s,serie-b,https://www.transfermarkt.it/sandro-porchia/profil/spieler/22142
FC Crotone,Mirko Pagliarini,24,Italia,Attacco,Attacco,-,Atletico Catania,Italia,?,In,2000,s,serie-b,https://www.transfermarkt.it/mirko-pagliarini/profil/spieler/28844
FC Crotone,César Augusto Sant'anna,27,Brasile,Mediano,M,-,FC Zurigo,Svizzera,?,In,2000,s,serie-b,https://www.transfermarkt.it/cesar-augusto-santanna/profil/spieler/56192
FC Crotone,Raffaele Ametrano,27,Italia,Terzino destro,TD,-,Juventus FC,Italia,?,In,2000,s,serie-b,https://www.transfermarkt.it/raffaele-ametrano/profil/spieler/20896
FC Crotone,Alberto Nocerino,24,Italia,Terzino sinistro,TS,-,AC Savoia 1908,Italia,?,In,2000,s,serie-b,https://www.transfermarkt.it/alberto-nocerino/profil/spieler/103302
FC Crotone,Matjaz Florjancic,32,Slovenia,Centrocampo,Centrocampo,-,Alzano Virescit,Italia,Prestito,In,2000,s,serie-b,https://www.transfermarkt.it/matjaz-florjancic/profil/spieler/113407
FC Crotone,Jean-Pierre Cyprien,31,Francia,Difensore centrale,DC,-,Olympique Marsiglia,Francia,?,In,2000,s,serie-b,https://www.transfermarkt.it/jean-pierre-cyprien/profil/spieler/158230
FC Crotone,Cosimo Sarli,21,Italia,Punta centrale,P,-,KSC Eendracht Aalst,Belgio,?,In,2000,s,serie-b,https://www.transfermarkt.it/cosimo-sarli/profil/spieler/168250
FC Crotone,Matteo Superbi,31,Italia,Centrocampo,Centrocampo,-,AC Cesena,Italia,?,In,2000,s,serie-b,https://www.transfermarkt.it/matteo-superbi/profil/spieler/195475
FC Crotone,Stefano Trinchera,26,Italia,Difensore centrale,DC,-,US Avellino,Italia,?,In,2000,s,serie-b,https://www.transfermarkt.it/stefano-trinchera/profil/spieler/226112
FC Crotone,Oberdan Biagioni,30,Italia,Trequartista,TQ,-,Cosenza Calcio 1914,Italia,?,In,2000,s,serie-b,https://www.transfermarkt.it/oberdan-biagioni/profil/spieler/224545
FC Crotone,Alessandro Ambrosi,28,Italia,Punta centrale,P,-,Calcio Monza,Italia,?,In,2000,s,serie-b,https://www.transfermarkt.it/alessandro-ambrosi/profil/spieler/287477
FC Crotone,Luigi Sassanelli,29,Italia,Portiere,POR,-,US Avellino,Italia,?,In,2000,s,serie-b,https://www.transfermarkt.it/luigi-sassanelli/profil/spieler/248377
FC Crotone,Paolo Ziliani,29,Italia,Libero,LIB,-,Treviso FBC 1993,Italia,?,In,2000,s,serie-b,https://www.transfermarkt.it/paolo-ziliani/profil/spieler/228303
Cosenza Calcio 1914,Riccardo Zampagna,25,Italia,Punta centrale,P,-,US Brescello,Italia,?,In,2000,s,serie-b,https://www.transfermarkt.it/riccardo-zampagna/profil/spieler/20895
Cosenza Calcio 1914,Darío Aurelio,24,Argentina,Centrocampista di sinistra,CS,-,Brescia Calcio,Italia,Prestito,In,2000,s,serie-b,https://www.transfermarkt.it/dario-aurelio/profil/spieler/104152
Cosenza Calcio 1914,Adriano Fiore,19,Italia,Centrale,CC,-,Castrovillari Calcio,Italia,?,In,2000,s,serie-b,https://www.transfermarkt.it/adriano-fiore/profil/spieler/158550
Cosenza Calcio 1914,Cristiano Pavone,28,Italia,Terzino sinistro,TS,-,US Salernitana,Italia,?,In,2000,s,serie-b,https://www.transfermarkt.it/cristiano-pavone/profil/spieler/199923
