Club,Name,Age,Nationality,Position,Pos,MarketValue,ClubInvolved,CountryInvolved,Fee,Movement,Season,Window,League,Profile
Bologna FC 1909,Fabio Vignaroli,29,Italy,Centre-Forward,CF,£900Th.,Modena FC,Italy,free transfer,In,2005,s,serie-b,https://www.transfermarkt.co.uk/fabio-vignaroli/profil/spieler/17153
Bologna FC 1909,Emanuele Manitta,28,Italy,Goalkeeper,GK,£315Th.,US Catanzaro,Italy,?,In,2005,s,serie-b,https://www.transfermarkt.co.uk/emanuele-manitta/profil/spieler/24327
Bologna FC 1909,Luca Mezzano,27,Italy,Centre-Back,CB,£270Th.,Torino FC,Italy,?,In,2005,s,serie-b,https://www.transfermarkt.co.uk/luca-mezzano/profil/spieler/21888
Bologna FC 1909,Angelo Antonazzo,23,Italy,Right-Back,RB,£23Th.,Ascoli Calcio 1898,Italy,loan transfer,In,2005,s,serie-b,https://www.transfermarkt.co.uk/angelo-antonazzo/profil/spieler/38577
Bologna FC 1909,Francesco Della Rocca,17,Italy,Central Midfield,CM,-,Bologna Primavera,Italy,-,In,2005,s,serie-b,https://www.transfermarkt.co.uk/francesco-della-rocca/profil/spieler/56889
Bologna FC 1909,Luca Ferrari,19,Italy,Central Midfield,CM,-,Bologna Primavera,Italy,-,In,2005,s,serie-b,https://www.transfermarkt.co.uk/luca-ferrari/profil/spieler/56866
Bologna FC 1909,Ivan Pedrelli,19,Italy,Right-Back,RB,-,Bologna Primavera,Italy,-,In,2005,s,serie-b,https://www.transfermarkt.co.uk/ivan-pedrelli/profil/spieler/38601
Bologna FC 1909,Michael Vincenzi,18,Italy,midfield,midfield,-,Bologna Youth,Italy,-,In,2005,s,serie-b,https://www.transfermarkt.co.uk/michael-vincenzi/profil/spieler/222681
Bologna FC 1909,Andrea Costa,19,Italy,Centre-Back,CB,-,Bologna Primavera,Italy,-,In,2005,s,serie-b,https://www.transfermarkt.co.uk/andrea-costa/profil/spieler/34336
Bologna FC 1909,Alexander Manninger,28,Austria,Goalkeeper,GK,£2.70m,Robur Siena,Italy,"End of loanJun 30, 2005",In,2005,s,serie-b,https://www.transfermarkt.co.uk/alexander-manninger/profil/spieler/5278
